Performance.KDTMean;Performance.MAMean;Performance.MVMean;Performance.TBCMean;Performance.DDCMean;Performance.DMSMean;Performance.AEDMean;Performance.ADMSLMean;ExhaustionLevel;Performance.Task
0,502659434;0,416938524;0,326301219;0,364260417;0,214224326;0,235796737;0,226800067;0,298155788;1;1
0,50978375;0,447206353;0,359424339;0,373385847;0,225356355;0,247630366;0,171421738;0,379661317;1;1
0,509333934;0,4442316;0,352169201;0,370331162;0,210531882;0,239560333;0,229896271;0,291758867;1;1
0,543201731;0,434785947;0,334903753;0,400658474;0,337001613;0,24224039;0,207667583;0,326232279;1;1
0,505020467;0,43788075;0,345772583;0,373843307;0,30065349;0,231935655;0,179683084;0,33279979;1;1
0,500466044;0,456540613;0,36702643;0,373375853;0,224245187;0,236805663;0,177472635;0,339834652;0;1
0,504751435;0,427267376;0,333091385;0,364762854;0,254663634;0,23502228;0,18400988;0,320952038;0;1
0,50303903;0,438318815;0,346286765;0,38417427;0,240688495;0,242734617;0,176797925;0,352136085;1;1
0,500506406;0,393531612;0,302830493;0,37107484;0,168805721;0,217050675;0,179495455;0,251516895;0;1
0,50180241;0,429121765;0,342963884;0,386494135;0,199358501;0,220547418;0,180969199;0,26737719;1;1
0,502497715;0,438562281;0,345401202;0,380377718;0,250845993;0,231167349;0,188142879;0,307558905;1;1
0,499897169;0,440027922;0,350722801;0,365519377;0,245136958;0,226048967;0,194943437;0,307898244;1;1
0,499837975;0,483992117;0,392091791;0,365177205;0,237558549;0,222961514;0,162854826;0,274047491;1;1
0,50490863;0,467809005;0,375017068;0,375608637;0,209610327;0,224144162;0,201356173;0,286764674;0;1
0,526646385;0,404686865;0,312376986;0,391645939;0,272562445;0,230415829;0,204431129;0,298825491;0;1
0,545745676;0,459939474;0,374615676;0,388770982;0,381689843;0,242637039;0,222848813;0,303773974;0;1
0,533499068;0,430822287;0,336364095;0,383455777;0,246854428;0,22565501;0,191997007;0,276601878;0;1
0,500305826;0,434355272;0,338126604;0,373193202;0,204267987;0,224416684;0,163643981;0,294379964;0;1
0,5021556;0,464782202;0,375181802;0,371508574;0,190107487;0,244052835;0,178768317;0,337105753;0;1
0,499080498;0,381077508;0,283030867;0,36196;0,227874492;0,270690746;0,178563165;0,39764309;0;1
0,500878996;0,386595174;0,29308263;0,370066326;0,18729429;0,228021183;0,161595259;0,297896149;0;1
0,500528022;0,44095978;0,345341958;0,373617053;0,269430563;0,263371364;0,181619369;0,379006075;0;1
0,500229022;0,43150181;0,341908574;0,360599477;0,199025225;0,233304118;0,194046868;0,313838894;1;1
0,499561659;0,42363231;0,330338571;0,365748309;0,377405157;0,238011829;0,161731033;0,335587443;1;1
0,501434672;0,4714866;0,376612778;0,370633179;0,231327046;0,246101765;0,216092144;0,332030034;1;1
0,499720488;0,507740143;0,421378041;0,362370752;0,326841664;0,229545401;0,158320911;0,307645156;0;1
0,549488116;0,526013935;0,436018924;0,379395993;0,304455878;0,320009219;0,216735922;0,528871475;0;1
0,50088848;0,456244011;0,364328477;0,364311707;0,215846372;0,258592661;0,183394779;0,469327331;1;1
0,499991495;0,461198942;0,376917984;0,362426109;0,209805834;0,226846892;0,190628535;0,279800352;0;1
0,587992264;0,425896939;0,328643228;0,375778607;0,239922665;0,226007498;0,162343921;0,285905331;0;1
0,499799414;0,429894762;0,337274907;0,366713497;0,332110143;0,228319422;0,177719583;0,290550296;0;1
0,496817166;0,494632978;0,396502289;0,36415127;0,277911536;0,228144071;0,24041528;0,296318561;0;1
0,499579962;0,455728991;0,365560983;0,361584354;0,263691683;0,227495763;0,154375262;0,300953919;0;1
0,54592006;0,50304125;0,406803573;0,386125253;0,202493428;0,225493171;0,174312084;0,303733304;0;1
0,501182778;0,458532868;0,367040358;0,372788211;0,219502104;0,235170813;0,176397977;0,320861616;0;1
0,505010638;0,464029919;0,371492606;0,375109723;0,235420985;0,260477312;0,146963551;0,402864554;0;1
0,499935824;0,488124333;0,392427998;0,361048228;0,23889667;0,254142857;0,1495692;0,421482637;0;1
0,502173318;0,50124107;0,418972282;0,385979742;0,239599246;0,300799097;0,154030482;0,565557867;0;1
0,5011856;0,489873074;0,400002672;0,391134484;0,235849411;0,244542024;0,14669482;0,397130563;1;1
0,488522295;0,447536064;0,352562605;0,419222503;0,168805721;0,247982957;0,175729141;0,360875079;0;1
0,499729541;0,452376783;0,368486512;0,422599259;0,277392858;0,233210349;0,186588581;0,331940987;0;1
0,498851077;0,473151835;0,375942501;0,458574759;0,187195447;0,254314884;0,183860179;0,411175232;0;1
0,500938194;0,441874803;0,349020121;0,403549246;0,173052835;0,22028052;0,153681181;0,28581623;0;1
0,502525941;0,421362184;0,330307974;0,417019001;0,255047836;0,233761989;0,194619909;0,308708614;1;1
0,502021632;0,431516465;0,341298042;0,448434161;0,211137096;0,225277596;0,172832786;0,284612013;0;1
0,498888665;0,427767028;0,33164909;0,441680969;0,245218618;0,226623109;0,177803173;0,300127151;0;1
0,500577292;0,436047787;0,345599627;0,471568815;0,175700657;0,229350615;0,185085557;0,289997718;0;1
0,505479312;0,457546739;0,362276885;0,496509056;0,198372966;0,237318005;0,171141486;0,35515633;0;1
1;0,42460248;0,335196455;0,478077625;0,265431201;0,23041843;0,158115623;0,298543106;1;1
0,501740762;0,449557637;0,360436439;0,411908961;0,203039163;0,230552854;0,171013691;0,298356344;0;1
0,500686511;0,426899095;0,33647617;0,510922111;0,1866052;0,229498192;0,184735684;0,274184851;0;1
0,50258713;0,450796693;0,366660608;0,442436711;0,213830581;0,230237233;0,210930088;0,307842358;1;1
0,488522295;0,40098495;0,312550746;0,453430414;0,203577405;0,222576921;0,163136274;0,281247731;0;1
0,500174517;0,452264793;0,367983175;0,45772232;0,250889914;0,22498533;0,173828206;0,298399543;1;1
0,502419028;0,444870882;0,342665828;0,426236933;0,218280617;0,228382725;0,164077814;0,334467741;1;1
0,499590886;0,404795217;0,287032373;0,475541699;0,263974003;0,232006926;0,205283858;0,2972431;0;1
0,501004946;0,405847579;0,308547646;0,448533122;0,20939185;0,236780075;0,169225799;0,340033032;0;1
0,49887446;0,420971494;0,324553221;0,467905598;0,247515693;0,230757139;0,171077722;0,293908988;0;1
0,50152963;0,396210821;0,299093827;0,509494406;0,208054715;0,224928113;0,209132032;0,297025097;0;1
0,497186723;0,372718673;0,277723936;0,515842573;0,234229792;0,225712812;0,193808613;0,275001962;0;1
0,500052539;0,411147361;0,315699077;0,467107314;0,179156813;0,223946701;0,175861599;0,280167033;1;1
0,500447685;0,525889847;0,42399302;0,449523693;0,244711562;0,242018103;0,172223399;0,353878843;0;1
0,507038068;0,382286551;0,284736877;0,471570991;0,232945798;0,247941823;0,169967299;0,288867256;1;1
0,500560567;0,452424199;0,366566337;0,461331725;0,19992772;0,234867519;0,18643146;0,352339379;0;1
0,501674261;0,41005172;0,315210078;0,51842038;0,18824041;0,242484264;0,220447394;0,3124071;0;1
0,501827553;0,418700784;0,330326931;0,516851605;0,192949307;0,223845851;0,223585998;0,271843303;0;1
0,508094655;0,469090953;0,39364683;0,450097611;0,200233849;0,234921089;0,191799478;0,334350816;0;1
0,502928681;0,416387153;0,32835418;0,460798046;0,242198379;0,229551344;0,204361509;0,286521174;0;1
0,500806113;0,436130988;0,346802552;0,462006311;0,232467756;0,250008343;0,178415509;0,366015691;0;1
0,49931089;0,426290312;0,337555832;0,55821698;0,206421127;0,24857326;0,206398406;0,356306781;0;1
0,502083106;0,405755758;0,315074584;0,458725389;0,226685601;0,217741999;0,240751778;0,252802635;0;1
0,500321672;0,402037264;0,306635849;0,47915282;0,20797953;0,224613529;0,184298392;0,288176584;0;1
0,539001773;0,402051837;0,305487378;0,477721881;0,215260861;0,223723814;0,253548968;0,277509475;0;1
